name,Batch-C-01,Batch-C-02,Batch-C-03,Batch-C-04,Batch-C-05,Batch-C-06,Batch-C-07,Batch-C-08,Batch-C-09,Batch-C-10,Batch-C-11,Batch-C-12,Batch-C-13,Batch-C-14,Batch-C-15,mz,rt
C_251,843.4396397,632.2026821,651.2469925,876.0945113,469.5279677,385.6910855,421.7238071,816.5211772,819.2313208,822.4618785,973.8994631,729.6316779,705.381314,432.2280024,310.1780476,379.9124132,565.6100284
C_252,1279.634481,1918.728459,639.9520488,2455.376993,2469.471132,981.4689009,247.688616,3398.551574,219.1221751,229.0053678,1401.461761,765.5028313,712.0817346,1528.792295,404.3142169,380.212534,335.6330051
C_253,539.1530837,754.4064308,582.0732034,1062.927688,5200.785191,2303.138352,591.1175114,2362.239785,1385.277507,631.1166249,823.1099841,833.2454258,419.338374,386.9303462,879.0558,382.1091121,172.5050051
C_254,2658.379954,2496.773208,1059.45556,801.756614,9582.117442,3958.314295,645.4250774,3362.11446,1529.59555,637.837113,2902.741315,1277.166308,715.8927695,4667.558141,1788.64937,383.1315698,231.6160042
C_255,1128.050474,1375.063159,259.305343,1707.3342,1347.346962,619.4127816,116.1528817,355.8675183,142.638703,209.7602564,2099.316479,266.6373068,524.8337085,1166.462104,209.2819784,384.2778007,347.3374999
C_256,237.5475091,628.2539048,222.22679,304.097586,803.8309007,832.9725945,290.647978,260.3059403,240.5115858,497.0272844,286.1609124,198.6397966,243.8975005,276.4450333,449.7270018,384.8712775,24.27500019
C_257,425.6531856,620.1782505,351.3007392,370.4127788,401.9332776,827.3389647,486.6293324,358.2975819,296.8333503,333.0601124,435.0299928,334.9143215,406.8556436,486.2843084,278.3339514,386.9749828,31.0849997
C_258,454.8419945,492.7353067,529.3752952,258.8018484,1005.593225,221.5323283,79.8991127,1058.925405,122.9296298,572.6239361,389.4945873,142.6162365,1058.308542,1324.385599,696.4033901,390.0682271,216.2749987
C_259,1109.700869,17767.03004,4627.856586,1006.740349,3370.706837,709.2467657,1256.994267,6041.752091,1487.551206,1381.346088,389.5162046,1001.317403,712.9014132,343.7953717,440.0354928,391.1029792,210.1220058
C_260,317.2407123,550.6151996,453.0977316,583.5821298,305.334251,364.235292,345.6175428,417.2702868,330.275106,408.0719573,261.3830563,264.2632911,257.4291716,390.2723897,221.0951441,391.2898948,530.1949988
C_261,326.2910421,3418.908995,959.8202284,1031.424832,1027.498088,232.0227012,262.4935581,1171.17937,203.4199649,248.6812797,317.5566128,217.5036551,225.005012,660.1500053,168.3191413,392.1235025,212.0369984
C_262,2711.809386,2927.816742,2744.666941,1199.020908,2187.747316,2169.513877,2553.983301,3117.258507,2792.820257,2797.581359,1247.92766,2578.931794,2525.910156,2370.209543,1557.859941,393.2984513,532.3400079
C_263,687.7779859,498.2757608,644.1169357,404.8488368,638.1868863,478.7115256,1816.682034,263.9738685,725.0732862,125.1737191,235.986501,250.6518871,220.105449,189.8034079,154.5073905,393.9784135,42.00949926
C_264,244.9123744,386.5005847,599.6199964,354.7345391,396.0899367,302.1105036,493.5840154,322.3172182,520.6374582,277.640175,288.4713734,798.051406,658.8939626,262.2163172,190.1187023,394.9433907,35.9489996
C_265,637.8037494,413.6195016,461.1324539,583.7360072,312.8445699,279.9821659,445.4289125,610.5684991,749.7889147,605.3119543,563.3533127,645.971027,650.4463412,273.0980345,165.1845459,395.3467945,548.8569795
C_266,4331.522402,4871.935284,6822.651553,6519.899744,9117.492904,13456.67509,8786.008849,5123.944675,13072.33553,7988.515503,6971.505441,8241.68596,5402.67001,6224.136359,3408.734649,397.0743001,167.6660024
C_267,3440.351206,2888.760778,1133.714721,4280.911878,6791.77823,3049.139771,687.4994068,2782.525791,754.9990755,813.6000933,4257.825632,1636.344043,1885.442508,3681.257633,2145.267089,399.1271733,243.3969999
C_268,2326.37546,5164.075466,624.308097,3194.232166,1796.633345,1518.651842,280.6825353,1650.970295,413.1737247,349.5804125,3929.770989,492.2728454,1099.119793,2763.89157,818.0283814,400.2582571,305.2139915
C_269,323.4174949,537.5622035,430.5552009,406.2684763,753.1849846,421.0394895,442.937251,422.0500515,271.4190393,643.5861368,314.4551237,215.7620371,281.5340541,415.2714521,414.5841936,400.8595566,24.39300063
C_270,1482.967271,5177.540655,937.352749,3479.046304,2975.380592,537.455002,305.4731171,1027.478509,1732.992475,346.528976,2333.295261,851.2743744,1299.322158,2331.757973,1083.657527,401.1435449,201.5700054
C_271,4845.882597,7063.789095,1993.429642,12519.72151,7777.116726,1319.408726,555.9077682,1384.673146,232.1020751,1714.840163,5620.874761,682.4474738,368.2263546,1432.725369,3114.577733,403.1565756,241.1689948
C_272,1109.955032,973.0184778,873.2372531,1025.726277,842.7153777,870.1966336,1076.072443,738.4248821,513.2362427,821.3644374,779.1718495,452.0590889,774.3047169,274.3855677,1000.451127,405.0051888,39.70300035
C_273,490.8975877,1265.505887,285.4157185,9167.760531,1224.828227,1319.424331,237.9653669,817.2016617,299.8113881,227.9537966,534.1121137,1552.536571,440.6653692,670.957124,298.6590157,405.1188116,220.986
C_274,319.9044204,326.6126273,329.5613854,161.0737053,302.0262409,350.3593496,367.1000352,369.6014385,315.2527813,375.0917487,164.4757774,248.8103665,296.8581761,298.845436,220.8838371,405.2652286,434.2999884
C_275,1005.499241,1361.110124,1175.276048,1910.427189,1553.79524,812.7454705,1705.682026,443.6623449,2583.287446,261.0805479,453.6873353,379.870916,386.9861393,182.6357182,205.5919353,407.0291679,40.83200033
